Method_FQDN;Declared_vars;NoDDe;DDe_vars;DDe_features;NoADe;ADe_vars;ADe_features;Has_dependencies
util.update_keyboard_type;;0;;;0;;;0
button.SaltTextAway;screen, i, j, eol, tmp, line, lp, first, last, cell, cellc, num_params, params, xw;0;;;0;;;0
menu.domenu;xw, screen, me, created, mw, n, n, GCC_UNUSED, param_count, params, w;8;screen, xw, created;Mandatory<->OPT_NUM_LOCK, Mandatory<->ALLOWLOGGING, Mandatory<->NO_ACTIVE_ICON, Mandatory<->NO_ACTIVE_ICON, Mandatory<->OPT_TEK4014, Mandatory<->OPT_DEC_CHRSET, Mandatory<->OPT_ALLOW_XXX_OPS, Mandatory<->OPT_TEK4014;12;screen, inhibit, n, int, xw, created;OPT_NUM_LOCK<->Mandatory, OPT_NUM_LOCK<->ALLOWLOGGING, OPT_NUM_LOCK<->Mandatory, ALLOWLOGGING<->Mandatory, OPT_NUM_LOCK<->NO_ACTIVE_ICON, OPT_NUM_LOCK<->NO_ACTIVE_ICON, OPT_NUM_LOCK<->OPT_TEK4014, ALLOWLOGGING<->OPT_TEK4014, Mandatory<->OPT_TEK4014, Mandatory<->OPT_TEK4014, Mandatory<->OPT_DEC_CHRSET, Mandatory<->OPT_TEK4014;1
fontutils.append_fontname_num;temp, result, value;0;;;0;;;0
misc.do_osc;screen, mode, cp, state, buf, temp, ansi_colors, need_data, oscbuf, xw, len, final;30;need_data, xw, buf, final, cp, screen;Mandatory<->OPT_ISO_COLORS, Mandatory<->OPT_ISO_COLORS, Mandatory<->OPT_ISO_COLORS, Mandatory<->OPT_ISO_COLORS, Mandatory<->OPT_ISO_COLORS, Mandatory<->OPT_ISO_COLORS, Mandatory<->OPT_ISO_COLORS, Mandatory<->OPT_ISO_COLORS, Mandatory<->ALLOWLOGFILECHANGES, Mandatory<->ALLOWLOGFILECHANGES, Mandatory<->ALLOWLOGFILECHANGES, Mandatory<->ALLOWLOGFILECHANGES, Mandatory<->ALLOWLOGFILECHANGES, Mandatory<->ALLOWLOGFILECHANGES, Mandatory<->ALLOWLOGFILECHANGES, Mandatory<->ALLOWLOGFILECHANGES, Mandatory<->ALLOWLOGFILECHANGES, Mandatory<->ALLOWLOGGING, Mandatory<->ALLOWLOGGING, Mandatory<->OPT_SHIFT_FONTS, Mandatory<->OPT_SHIFT_FONTS, Mandatory<->OPT_SHIFT_FONTS, Mandatory<->OPT_SHIFT_FONTS, Mandatory<->OPT_SHIFT_FONTS, Mandatory<->OPT_SHIFT_FONTS, Mandatory<->OPT_SHIFT_FONTS, Mandatory<->OPT_PASTE64, Mandatory<->OPT_PASTE64, Mandatory<->OPT_PASTE64, Mandatory<->OPT_PASTE64;10;xw, buf, cp, misc;Mandatory<->OPT_ISO_COLORS, Mandatory<->OPT_ISO_COLORS, Mandatory<->OPT_ISO_COLORS, Mandatory<->OPT_ISO_COLORS, Mandatory<->ALLOWLOGFILECHANGES, Mandatory<->ALLOWLOGFILECHANGES, Mandatory<->ALLOWLOGFILECHANGES, Mandatory<->OPT_SHIFT_FONTS, Mandatory<->OPT_SHIFT_FONTS, Mandatory<->OPT_SHIFT_FONTS;1
cachedGCs.allocCache;cache_pointer;0;;;0;;;0
menu.update_appcursor;;0;;;0;;;0
menu.do_scrollttyoutput;screen, GCC_UNUSED;0;;;0;;;0
main.icewatch;GCC_UNUSED, iceConn, opening;0;;;0;;;0
scrollbar.WindowScroll;screen, i, lines, scrolltop, scrollheight, refreshtop, GCC_UNUSED, top, xw;8;screen, xw;|Mandatory<->OPT_SCROLL_LOCK, Mandatory<->OPT_SCROLL_LOCK, Mandatory<->OPT_SCROLL_LOCK, Mandatory<->OPT_SCROLL_LOCK, Mandatory<->OPT_SCROLL_LOCK, Mandatory<->OPT_SCROLL_LOCK, Mandatory<->OPT_SCROLL_LOCK, Mandatory<->OPT_BLINK_CURS |||| OPT_BLINK_TEXT|;4;screen;OPT_SCROLL_LOCK<->Mandatory, OPT_SCROLL_LOCK<->Mandatory, OPT_SCROLL_LOCK<->Mandatory, OPT_SCROLL_LOCK<->Mandatory;1
util.swapVTwinGCs;win, xw;0;;;0;;;0
os2main.GetBytesAvailable;arg, fd;0;;;0;;;0
