Method_FQDN;#debug;#elif;#elifdef;#elifndef;#else;#if;#ifdef;#ifndef;#mdebug;NoDi;NoFE
util.update_keyboard_type;0;0;0;0;0;0;0;0;0;0;0
button.SaltTextAway;0;0;0;0;0;0;0;0;0;0;0
menu.domenu;0;0;0;0;0;11;1;1;0;13;3
fontutils.append_fontname_num;0;0;0;0;0;0;0;0;0;0;0
misc.do_osc;0;0;0;0;0;11;2;0;0;13;2
cachedGCs.allocCache;0;0;0;0;0;0;0;0;0;0;0
menu.update_appcursor;0;0;0;0;0;0;0;0;0;0;0
menu.do_scrollttyoutput;0;0;0;0;0;0;0;0;0;0;0
main.icewatch;0;0;0;0;0;0;0;0;0;0;0
scrollbar.WindowScroll;0;0;0;0;0;2;0;0;0;2;1
util.swapVTwinGCs;0;0;0;0;0;0;0;0;0;0;0
os2main.GetBytesAvailable;0;0;0;0;0;0;0;0;0;0;0
util.drawXtermText;0;0;0;0;4;16;0;0;0;20;1
Tekproc.TekEnq;0;0;0;0;1;0;1;0;0;2;1
menu.do_allowColorOps;0;0;0;0;0;0;0;0;0;0;0
misc.ResetOneAnsiColor;0;0;0;0;0;0;0;0;0;0;0
misc.open_userfile;0;0;0;0;1;0;1;0;0;2;1
button.ReadLineButton;0;0;0;0;0;0;0;0;0;0;0
charproc.really_set_mousemode;0;0;0;0;0;0;0;0;0;0;0
screen.saveEditBufLines;0;0;0;0;1;2;0;0;0;3;1
os2main.main;0;0;0;0;1;14;6;0;0;21;2
menu.update_activeicon;0;0;0;0;0;0;0;0;0;0;0
util.CopyWait;0;0;0;0;0;0;0;0;0;0;0
cursor.xtermIndex;0;0;0;0;0;0;0;0;0;0;0
button.okPosition;0;0;0;0;0;0;0;0;0;0;0
os2main.resize_termcap;0;0;0;0;0;0;0;0;0;0;0
fontutils.getFaceName;0;0;0;0;1;1;0;0;0;2;1
menu.do_print_redir;0;0;0;0;0;0;0;0;0;0;0
util.isDefaultForeground;0;0;0;0;0;0;0;0;0;0;0
button.Length;0;0;0;0;0;0;0;0;0;0;0
os2main.Syntax;0;0;0;0;0;0;0;0;0;0;0
charproc.SwitchBufPtrs;0;0;0;0;1;1;0;0;0;2;1
main.abbrev;0;0;0;0;0;0;0;0;0;0;0
menu.update_font_renderfont;0;0;0;0;0;0;0;0;0;0;0
misc.withdraw_window;0;0;0;0;0;0;0;0;0;0;0
charproc.VTRealize;0;0;0;0;1;6;0;1;0;8;2
util.updatedXtermGC;0;0;0;0;0;5;0;0;0;5;1
menu.do_vtshow;0;0;0;0;0;0;0;0;0;0;0
menu.update_menu_allowColorOps;0;0;0;0;0;0;0;0;0;0;0
screen.ScrnAllocBuf;0;0;0;0;2;3;0;0;0;5;2
Tekproc.getTekWidget;0;0;0;0;0;0;0;0;0;0;0
scrollbar.ScrollTextTo;0;0;0;0;0;0;0;0;0;0;0
misc.ChangeTitle;0;0;0;0;0;0;0;0;0;0;0
menu.HandleAllowColorOps;0;0;0;0;0;0;0;0;0;0;0
misc.switch_modes;0;0;0;0;0;0;0;0;0;0;0
misc.ReverseOldColors;0;0;0;0;0;1;0;0;0;1;1
charproc.setExtendedFG;0;0;0;0;0;1;0;0;0;1;1
menu.update_altscreen;0;0;0;0;0;0;0;0;0;0;0
fontutils.xtermLoadFont;0;0;0;0;0;8;0;0;0;8;1
button.PointToCELL;0;0;0;0;0;1;0;0;0;1;1
trace.visibleKeyboardType;0;0;0;0;0;0;0;0;0;0;0
scrollback.addScrollback;0;0;0;0;0;0;0;0;0;0;0
screen.scrnHeadAddr;0;0;0;0;0;0;0;0;0;0;0
cachedGCs.redoCgs;0;0;0;0;0;0;0;0;0;0;0
keysym2ucs.keysym2ucs;0;0;0;0;0;0;0;0;0;0;0
tabs.TabToPrevStop;0;0;0;0;0;0;0;0;0;0;0
tabs.TabClear;0;0;0;0;0;0;0;0;0;0;0
print.xtermHasPrinter;0;0;0;0;0;0;0;0;0;0;0
cachedGCs.swapCgs;0;0;0;0;0;0;0;0;0;0;0
xtermcap.isLegalTcapName;0;0;0;0;0;0;0;0;0;0;0
